Role;F-measure
1;0,701684394398822
3;0,698873056994819
4;0,696811085300632
6;0,6925240672490460
0;0,728766365967306
2;0,732945736434109
5;0,610405048429704
Role;F-measure
1;0,745352613812608
3;0,698110367892976
4;0,701913435733455
6;0,7042418468012470
0;0,745833856216607
2;0,729153199741435
5;0,60652918127449
Role;F-measure
1;0,759695761312256
3;0,688487402184195
4;0,7329355608591890
6;0,706413768153393
0;0,758291407483403
2;0,710690800398539
5;0,606094788762599
Role;F-measure
1;0,762925898846044
3;0,697248195795419
4;0,72998945997892
6;0,7033848927585940
0;0,759718361337079
5;0,619346733668342
2;0,7256140350877190
