Role;F-measure
1;0,975382981657702
5;0,913783633236646
2;0,721015194681861
4;0,732054860442733
0;0,750130176221679
6;0,804134589554491
3;0,714134589554491
Role;F-measure
1;0,977770333609043
5;0,901213526988944
4;0,727657342657343
0;0,771998426409687
6;0,813175478798589
2;0,726500802568218
3;0,711134589554491
Role;F-measure
1;0,980870563674322
2;0,715353426919901
5;0,907322444381864
0;0,748531172146898
4;0,73746017699115
6;0,828831971109273
3;0,711134589554491
Role;F-measure
1;0,981515458122541
2;0,71878231859883
5;0,905568438897495
0;0,743093574745152
4;0,701811320754717
6;0,828573830856772
3;0,709134589554491
