Role;F-measure
1;0,979382981657702
5;0,912783633236646
2;0,729015194681861
4;0,722054860442733
0;0,781130176221679
6;0,812134589554491
3;0,736134589554491
Role;F-measure
1;0,978770333609043
5;0,912213526988944
4;0,721657342657343
0;0,785998426409687
6;0,81575478798589
2;0,724500802568218
3;0,723134589554491
Role;F-measure
1;0,980870563674322
2;0,722353426919901
5;0,905322444381864
0;0,78131172146898
4;0,72846017699115
6;0,832831971109273
3;0,716134589554491
Role;F-measure
1;0,979515458122541
2;0,720878231859883
5;0,903568438897495
0;0,770093574745152
4;0,716811320754717
6;0,828573830856772
3;0,701134589554491
