Role;F-measure
1;0,722684394398822
3;0,718873056994819
4;0,725811085300632
6;0,712524067249046
0;0,738766365967306
2;0,727945736434109
5;0,695405048429704
Role;F-measure
1;0,773352613812608
3;0,702110367892976
4;0,713913435733455
6;0,715241846801247
0;0,772833856216607
2;0,731153199741435
5;0,68352918127449
Role;F-measure
1;0,792695761312256
3;0,711487402184195
4;0,721935560859189
6;0,721413768153393
0;0,783291407483403
2;0,713690800398539
5;0,670094788762599
Role;F-measure
1;0,792925898846044
3;0,722248195795419
4;0,71298945997892
6;0,709384892758594
0;0,80618361337079
5;0,661346733668342
2;0,706614035087719
