Role;F-measure
1;0,711684394398822
3;0,714873056994819
4;0,725811085300632
6;0,722524067249046
0;0,718766365967306
2;0,725945736434109
5;0,690405048429704
Role;F-measure
1;0,764352613812608
3;0,702110367892976
4;0,713913435733455
6;0,705241846801247
0;0,763833856216607
2;0,732153199741435
5;0,68152918127449
Role;F-measure
1;0,789695761312256
3;0,711487402184195
4;0,721935560859189
6;0,714413768153393
0;0,771291407483403
2;0,713690800398539
5;0,668094788762599
Role;F-measure
1;0,787925898846044
3;0,722248195795419
4;0,71298945997892
6;0,701384892758594
0;0,79218361337079
5;0,650346733668342
2;0,705614035087719
