Role;F-measure
1;0,731684394398822
3;0,714873056994819
4;0,71581108530063
6;0,709524067249046
0;0,738766365967306
2;0,735945736434109
5;0,681405048429704
Role;F-measure
1;0,776352613812608
3;0,713110367892976
4;0,726913435733455
6;0,716241846801247
0;0,783833856216607
2;0,743153199741435
5;0,67852918127449
Role;F-measure
1;0,793695761312256
3;0,742487402184195
4;0,739935560859189
6;0,722413768153393
0;0,788291407483403
2;0,745690800398539
5;0,677094788762599
Role;F-measure
1;0,811925898846044
3;0,710248195795419
4;0,72598945997892
6;0,712384892758594
0;0,80218361337079
5;0,675346733668342
2;0,715614035087719
