Role;F-measure
1;0,721684394398822
3;0,712873056994819
4;0,735811085300632
6;0,712524067249046
0;0,728766365967306
2;0,735945736434109
5;0,680405048429704
Role;F-measure
1;0,774352613812608
3;0,711110367892976
4;0,721913435733455
6;0,711241846801247
0;0,775833856216607
2;0,743153199741435
5;0,67652918127449
Role;F-measure
1;0,793695761312256
3;0,728487402184195
4;0,733935560859189
6;0,709413768153393
0;0,788291407483403
2;0,725690800398539
5;0,671094788762599
Role;F-measure
1;0,797925898846044
3;0,712248195795419
4;0,72298945997892
6;0,705384892758594
0;0,79818361337079
5;0,670346733668342
2;0,715614035087719
